Dataset,Algoritmo,Semilla,Costo,Evaluaciones,Solucion
datasets/tai25b.dat,Greedy,N/A,913427707,1, 24 20 21 3 7 4 5 17 10 2 6 8 16 0 1 14 22 12 19 23 15 13 18 11 9 
datasets/tai25b.dat,BL Mejor Vecino,42,383795207,5701, 8 23 13 17 15 9 0 12 2 4 11 5 16 6 24 1 22 19 7 14 20 10 3 21 18 
datasets/tai25b.dat,BL Mejor Vecino,420,392594026,10201, 23 24 5 11 20 18 19 3 10 0 9 21 13 14 22 12 8 6 7 4 1 16 17 2 15 
datasets/tai25b.dat,BL Mejor Vecino,4200,368865581,8401, 16 8 19 17 15 24 3 14 2 4 6 5 12 18 9 10 23 11 20 22 1 21 13 0 7 
datasets/tai25b.dat,BL Mejor Vecino,42000,386188508,8101, 11 23 20 17 15 8 10 13 2 16 14 6 4 0 12 7 21 22 1 9 24 3 18 5 19 
datasets/tai25b.dat,BL Mejor Vecino,80987,458038241,5701, 21 0 10 22 7 13 23 17 1 24 11 20 9 4 5 6 19 8 12 14 18 16 3 2 15 
datasets/tai25b.dat,GRASP, 42 420 4200 42000 80987 ,349785972,39934, 6 8 5 12 19 4 23 14 15 2 16 24 17 3 9 1 21 22 7 11 20 10 13 0 18 
