Dataset,Algoritmo,Semilla,Costo,Evaluaciones,Solucion
datasets/sko90b.dat,Greedy Prob,42,138698,1, 58 81 26 34 10 53 64 80 6 28 9 35 38 24 37 62 63 69 31 78 49 0 50 87 89 83 79 33 17 20 11 32 85 70 27 43 52 23 4 41 88 18 73 75 3 13 14 39 67 71 36 72 84 12 22 16 44 7 21 42 47 66 51 5 74 57 29 54 8 48 61 30 76 40 86 82 2 55 59 68 56 1 65 77 15 19 60 25 45 46 
datasets/sko90b.dat,BL Primer Mejor,N/A,118022,558586, 33 21 22 83 58 60 70 68 24 10 39 43 36 65 5 56 29 11 59 17 26 6 67 48 18 77 16 74 19 45 47 87 46 35 50 79 62 55 80 25 51 34 64 27 2 53 13 76 28 44 31 32 69 88 14 57 89 72 9 66 38 61 84 3 82 12 0 54 52 23 49 75 71 8 15 37 42 20 41 7 85 30 1 40 86 78 73 81 63 4 
