Dataset,Algoritmo,Semilla,Costo,Evaluaciones,Solucion
datasets/sko90b.dat,Greedy,N/A,136080,1, 31 2 44 36 89 45 66 10 30 68 70 32 37 24 46 41 52 11 38 19 3 80 18 87 1 6 69 55 75 21 7 57 4 88 22 35 33 14 5 73 40 20 67 47 83 28 13 39 51 8 53 84 71 58 72 16 65 78 61 63 12 27 54 86 62 26 79 43 81 85 48 82 17 50 49 29 77 15 59 74 23 60 25 76 64 9 0 42 56 34 
datasets/sko90b.dat,BL Mejor Vecino,42,117752,392491, 75 26 68 29 43 70 22 33 21 10 85 47 18 35 58 56 57 39 60 78 19 69 64 65 46 11 62 67 16 86 32 87 79 6 36 50 51 34 76 24 40 55 14 27 2 13 5 44 61 17 15 8 30 88 83 59 9 3 28 1 42 54 12 82 77 0 20 80 73 63 49 31 48 84 89 37 72 38 25 66 81 74 52 53 71 45 7 23 41 4 
datasets/sko90b.dat,GRASP, 42 ,118022,558586, 33 21 22 83 58 60 70 68 24 10 39 43 36 65 5 56 29 11 59 17 26 6 67 48 18 77 16 74 19 45 47 87 46 35 50 79 62 55 80 25 51 34 64 27 2 53 13 76 28 44 31 32 69 88 14 57 89 72 9 66 38 61 84 3 82 12 0 54 52 23 49 75 71 8 15 37 42 20 41 7 85 30 1 40 86 78 73 81 63 4 
